name,product_title,price,product_url,image_url,image_file
tea_kettle,"Tea Kettle Stovetop Whistling Teakettle Classic Stainless Steel, 2 Liters",NA,https://www.amazon.com/Kettle-Stovetop-Whistling-Teakettle-Stainless/dp/B07DFF5WPQ,https://m.media-amazon.com/images/I/61kgG2hAusL._AC_SL1500_.jpg,images/tea_kettle.jpg
french_press,Cafe Du Chateau Stainless Steel French Press Coffee Maker 34 oz,29.99,https://www.amazon.com/French-Press-Coffee-Maker-34oz/dp/B01J4O0T4E,https://m.media-amazon.com/images/I/71YUIQt+EEL._AC_SL1500_.jpg,images/french_press.jpg
moka_pot,"Bialetti Moka Express Iconic Stovetop Espresso Maker, Moka Pot 3 Cups",44.99,https://www.amazon.com/Original-Bialetti-Moka-Express-Stovetop/dp/B0000CF3Q6,https://m.media-amazon.com/images/I/71nqjUMnlVL._AC_SL1500_.jpg,images/moka_pot.jpg
milk_frother,"Zulay Kitchen Powerful Milk Frother Wand, Handheld Electric Whisk Foam Maker",14.99,https://www.amazon.com/Zulay-Original-Milk-Frother-Handheld/dp/B09D8T11YS,https://m.media-amazon.com/images/I/811azKMn+yL._AC_SL1500_.jpg,images/milk_frother.jpg
yogurt_cup,Crystalia 4 Pack 20 oz On The Go Yogurt Parfait Cups with Lids & Spoons,NA,https://www.amazon.com/Yogurt-Parfait-Reusable-Overnight-Oats/dp/B0863GSFSP,https://m.media-amazon.com/images/I/71qNtqXcReL._AC_SL1500_.jpg,images/yogurt_cup.jpg
butter_knife,"Stainless Steel Butter Spreader, Butter Knife - 3 in 1 Kitchen Gadgets",NA,https://www.amazon.com/Stainless-Steel-Butter-Spreader-Knife/dp/B0721T9RDR,https://m.media-amazon.com/images/I/51LayigAMhL._AC_SL1000_.jpg,images/butter_knife.jpg
cutting_board,"ROYAL CRAFT WOOD Wooden Cutting Boards for Kitchen Meal Prep & Serving, Bamboo",NA,https://www.amazon.com/Wooden-Cutting-Boards-Kitchen-Serving/dp/B07WFF17BQ,https://m.media-amazon.com/images/I/81odx2aS0aL._AC_SL1500_.jpg,images/cutting_board.jpg
dish_brush,"Amazer Dish Brush with Handle, 2 Pack Kitchen Scrub Brushes with Stiff Bristles",NA,https://www.amazon.com/Amazer-Bathroom-Comfortable-Odourless-Bristles/dp/B06Y5JW8NY,https://m.media-amazon.com/images/I/61cTe9A5Y1L._AC_SL1500_.jpg,images/dish_brush.jpg
measuring_spoons,Spring Chef Stainless Steel Measuring Spoons Set of 7 with Leveler,11.97,https://www.amazon.com/Spring-Chef-Stainless-Measuring-Spoons/dp/B013FW3AKG,https://m.media-amazon.com/images/I/81ZB6QcGD7L._AC_SL1500_.jpg,images/measuring_spoons.jpg
mug_tree,"HULISEN Coffee Mug Holder for Countertop, Cup Tree with 6 Hooks, Silver",NA,https://www.amazon.com/HULISEN-Holder-Standing-Coffee-Counter/dp/B08S7D81ZC,https://m.media-amazon.com/images/I/61MQds4cQBL._AC_SL1500_.jpg,images/mug_tree.jpg
utensil_holder,"DOWAN 360 Rotating Extra Large Cooking Utensil Holder, Ceramic Utensil Crock, Blue",25.99,https://www.amazon.com/DOWAN-Rotating-Christmas-Decorations-Thanksgiving/dp/B0B4RNYMWZ,https://m.media-amazon.com/images/I/81JfWQ0apOL._AC_SL1500_.jpg,images/utensil_holder.jpg
paper_towel_holder,"OXO Good Grips SimplyTear Paper Towel Holder Countertop, Brushed Stainless Steel",24.99,https://www.amazon.com/OXO-SimplyTear-Standing-Brushed-Stainless/dp/B000W8AF2S,https://m.media-amazon.com/images/I/71X9mZqydQL._AC_SL1500_.jpg,images/paper_towel_holder.jpg
sugar_bowl,"K KitchenTour Ceramic Sugar Bowl with Lid and Spoon, 12 oz/350 ml",NA,https://www.amazon.com/KitchenTour-Ceramic-Sugar-Bowl-Spoon/dp/B089YQ7V2P,https://m.media-amazon.com/images/I/51GUhi+Ps5L._AC_SL1500_.jpg,images/sugar_bowl.jpg
